event_name,date,day_type,sector_zone,parking_walk_km,shuttle_distance_km,has_expanded_ghat,throughput_tier,days_since_start,festival_proximity_days,temperature_c,crowd_risk_level,is_synthetic,data_source_notes
Nashik 2027 Simulation Day 11,2027-08-11,Weekend,Outer Transit & Parking,2.33,11.75,0,1,10,4,33.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Normal Day,Trimbakeshwar Inner Ghats,2.85,13.02,1,2,0,6,28.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 57,2027-08-27,Normal Day,Tapovan,1.53,9.55,1,1,56,7,22.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 10,2027-08-10,Weekend,Outer Transit & Parking,2.64,14.78,0,1,9,3,35.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Amavasya,Outer Transit & Parking,3.14,10.36,0,1,40,0,30.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Normal Day,Ram Kund - Panchavati,1.4,9.76,0,3,28,5,34.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 44,2027-08-14,Normal Day,Trimbakeshwar Inner Ghats,2.53,10.25,0,2,43,1,32.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 35,2027-08-05,Normal Day,Sadhugram,0.71,5.78,1,1,34,4,33.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 32,2027-08-02,Weekend,Sadhugram,0.73,4.73,1,1,31,5,22.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Shahi Snan,Sadhugram,1.1,6.27,1,1,38,0,24.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 45,2027-08-15,Weekend,Trimbakeshwar Inner Ghats,1.98,15.71,0,3,44,2,31.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 19,2027-08-19,Weekend,Sadhugram,0.58,5.21,1,1,18,2,25.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 56,2027-08-26,Shahi Snan,Tapovan,0.87,4.55,0,1,55,0,24.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 55,2027-08-25,Shahi Snan,Ram Kund - Panchavati,1.5,6.03,0,3,54,0,30.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Normal Day,Sadhugram,0.51,4.06,1,1,45,1,30.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 52,2027-08-22,Normal Day,Tapovan,1.71,5.77,1,1,51,2,27.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Weekend,Trimbakeshwar Inner Ghats,2.75,12.25,0,3,49,1,25.9,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 10,2027-08-10,Weekend,Ram Kund - Panchavati,2.07,11.41,1,2,9,1,30.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 34,2027-08-04,Amavasya,Tapovan,1.93,4.5,1,2,33,0,23.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Normal Day,Outer Transit & Parking,2.32,10.54,0,1,7,7,29.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Normal Day,Tapovan,1.47,5.48,1,2,47,5,22.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Weekend,Tapovan,1.63,6.75,1,2,3,1,25.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 5,2027-08-05,Amavasya,Ram Kund - Panchavati,2.63,10.76,0,1,4,0,29.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Normal Day,Ram Kund - Panchavati,2.11,7.1,0,2,21,7,31.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Normal Day,Trimbakeshwar Inner Ghats,2.66,12.25,0,3,7,7,27.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Normal Day,Tapovan,1.66,4.41,1,1,58,4,30.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Sadhugram,1.44,3.23,1,1,13,4,26.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 58,2027-08-28,Normal Day,Sadhugram,1.25,5.66,1,1,57,3,29.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Normal Day,Sadhugram,0.66,4.1,1,1,1,7,28.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Weekend,Sadhugram,1.23,7.79,1,1,13,3,24.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 6,2027-08-06,Weekend,Sadhugram,0.54,6.9,1,1,5,2,27.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Outer Transit & Parking,3.41,11.9,0,1,39,1,23.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 31,2027-08-01,Normal Day,Tapovan,1.49,5.95,0,1,30,2,22.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 20,2027-08-20,Shahi Snan,Trimbakeshwar Inner Ghats,1.9,9.69,1,3,19,0,27.7,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Weekend,Outer Transit & Parking,2.91,15.28,0,1,59,1,30.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Ram Kund - Panchavati,2.62,8.52,1,3,11,1,32.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 54,2027-08-24,Normal Day,Tapovan,1.27,4.6,0,2,53,1,29.8,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 15,2027-08-15,Normal Day,Sadhugram,1.45,4.52,1,1,14,6,25.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Normal Day,Tapovan,1.49,6.36,0,1,3,1,22.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
